Dataset,Model,Test_RMSE,Test_R2,Test_MAE,Test_MAPE_pct,Train_s,Predict_s,Total_s
Dataset 2 (EV specs -> Efficiency),Random Forest,21.966555964747428,0.5771019245445008,15.459523809523809,7.207591834472525,0.1311750410000001,0.0819180419999998,0.2130930829999999
Dataset 4 (EV charging -> Charging Cost),Random Forest,11.073401434179443,-0.0970067032668275,9.506273484848483,57.253064470872474,0.2226824999999999,0.0844610419999996,0.3071435419999995
Dataset 5 (EV energy -> kWh),Random Forest,1.4123635985336054,0.5886414477778954,1.149887376797294,15.265862072549105,0.5033367499999999,0.095740916,0.5990776659999999
Dataset 2 (EV specs -> Efficiency),Gradient Boosting,18.860252131962586,0.6882497898935402,14.022144732867297,6.639700003123616,0.0548048749999998,0.002465709,0.057270584
Dataset 4 (EV charging -> Charging Cost),Gradient Boosting,11.406798182950164,-0.164058237,9.691711974,58.04692168636739,0.3076631669999998,0.003903792,0.3115669589999998
Dataset 5 (EV energy -> kWh),Gradient Boosting,1.4199648564928953,0.5842017175076697,1.1551523569154811,15.32496612445854,0.9904046660000004,0.0102623749999999,1.0006670410000005
Dataset 2 (EV specs -> Efficiency),Ridge,14.54803793521772,0.8145099509838163,11.36864406453349,5.81186951557499,0.0061024579999999,0.0002089170000001,0.0063113750000001
Dataset 4 (EV charging -> Charging Cost),Ridge,10.633019778104982,-0.011487304434824,9.211553299655526,54.98591425085295,0.0005790409999999,0.0006874169999999,0.0012664579999999
Dataset 5 (EV energy -> kWh),Ridge,1.3835342958210164,0.6052634350187326,1.1289160930175297,14.984875877449822,0.0007472499999998,0.0003839170000001,0.001131167
