Dataset,Train_RMSE,Val_RMSE,Test_RMSE,Train_R2,Val_R2,Test_R2,Test_MAE,Test_MAPE_pct,Fit_diagnosis,Train_s,Predict_s,Total_s
Dataset 2 (EV specs -> Efficiency),15.10083714938854,17.366661180403042,14.54803793521772,0.7043501228215034,0.550637167842214,0.8145099509838163,11.36864406453349,5.81186951557499,no extreme under/overfit pattern by these rules; compare RMSE/R2 across splits [train val test RMSE ratio≈1:1.15:0.96; val vs test RMSE rel diff=0.19; trainR2−valR2=0.154],0.006102457999999977,0.00020891700000014168,0.006311375000000119
Dataset 4 (EV charging -> Charging Cost),10.559459013806133,11.292078850400813,10.633019778104982,0.01956068724899762,-0.011398216246672588,-0.011487304434824042,9.211553299655526,54.98591425085295,underfitting signal: weak R2 on train and validation with little gap between them [train val test RMSE ratio≈1:1.07:1.01; val vs test RMSE rel diff=0.06; trainR2−valR2=0.031],0.0005790409999999468,0.000687416999999968,0.0012664579999999148
Dataset 5 (EV energy -> kWh),1.3033610906620101,1.292221399550732,1.3835342958210164,0.6441164658394134,0.64334318779811,0.6052634350187326,1.1289160930175295,14.984875877449822,no extreme under/overfit pattern by these rules; compare RMSE/R2 across splits [train val test RMSE ratio≈1:0.99:1.06; val vs test RMSE rel diff=0.07; trainR2−valR2=0.001],0.0007472499999998661,0.0003839170000001779,0.001131167000000044
