Dataset,Train_RMSE,Val_RMSE,Test_RMSE,Train_R2,Val_R2,Test_R2,Test_MAE,Test_MAPE_pct,Fit_diagnosis,Train_s,Predict_s,Total_s
Dataset 2 (EV specs -> Efficiency),0.48556246289564,22.009476884931733,18.860252131962582,0.9996943208155452,0.2782547634295317,0.6882497898935402,14.022144732867297,6.639700003123616,"overfitting signal: much worse on validation than in-sample train, while validation ≈ test (typical generalization gap) [train val test RMSE ratio≈1:45.33:38.84; val vs test RMSE rel diff=0.17; trainR2−valR2=0.721]",0.05393695799999776,0.002853541999996878,0.05679049999999464
Dataset 4 (EV charging -> Charging Cost),7.061094571718583,11.996016625548359,11.406798182950165,0.5615890067953377,-0.14142793504551032,-0.16405823701326505,9.69171197435754,58.04692168636739,"validation and test align but scores are poor — weak model or hard target, not necessarily 'overfit' [train val test RMSE ratio≈1:1.70:1.62; val vs test RMSE rel diff=0.05; trainR2−valR2=0.703]",0.29987337500000066,0.003954416999999211,0.3038277919999999
Dataset 5 (EV energy -> kWh),1.1311899479474128,1.331246570164241,1.4199648564928953,0.7319292277008114,0.6214757830959292,0.5842017175076697,1.1551523569154811,15.324966124458541,no extreme under/overfit pattern by these rules; compare RMSE/R2 across splits [train val test RMSE ratio≈1:1.18:1.26; val vs test RMSE rel diff=0.06; trainR2−valR2=0.110],0.9450166669999973,0.009982916999998537,0.9549995839999958
